string	surah_frequency
شعب	{'77': 96.31592039800995, '49': 58.399698340874814}
رسس	{'50': 50.81233595800525, '25': 20.974539544962077}
عيي	{'50': 50.81233595800525, '46': 29.53394355453852}
غطو	{'50': 50.81233595800525, '18': 11.557910447761195}
لبد	{'90': 218.75141242937852, '72': 67.57242582897034}
قحم	{'90': 218.75141242937852, '38': 24.931745009658723}
فكك	{'98': 229.10650887573965, '90': 218.75141242937852}
شام	{'90': 218.75141242937852, '56': 45.60541813898704}
ثقب	{'86': 293.32575757575756, '37': 20.58426368952685}
جرد	{'54': 53.55325034578147, '7': 5.697321954090642}
هشم	{'54': 53.55325034578147, '18': 11.557910447761195}
حظر	{'54': 53.55325034578147, '17': 12.013341607198262}
لمح	{'54': 53.55325034578147, '16': 10.30582911897791}
كرس	{'38': 24.931745009658723, '2': 3.1437966872361156}
غوص	{'38': 24.931745009658723, '21': 15.88797702092737}
صفد	{'38': 24.931745009658723, '14': 23.48029108550637}
ركض	{'38': 24.931745009658723, '21': 15.88797702092737}
حنث	{'56': 45.60541813898704, '38': 24.931745009658723}
شكل	{'38': 24.931745009658723, '17': 12.013341607198262}
رحب	{'38': 24.931745009658723, '9': 7.49061714064616}
قيل	{'25': 20.974539544962077, '7': 5.697321954090642}
خصف	{'20': 13.681625441696113, '7': 5.697321954090642}
خيط	{'7': 5.697321954090642, '2': 3.1437966872361156}
ثعب	{'26': 14.287453874538745, '7': 5.697321954090642}
خور	{'20': 13.681625441696113, '7': 5.697321954090642}
حطط	{'7': 5.697321954090642, '2': 3.1437966872361156}
نصت	{'46': 29.53394355453852, '7': 5.697321954090642}
قدد	{'72': 67.57242582897034, '12': 10.85782389231632}
ذقن	{'36': 25.84712950600801, '17': 12.013341607198262}
خمد	{'36': 25.84712950600801, '21': 15.88797702092737}
رقد	{'36': 25.84712950600801, '18': 11.557910447761195}
شغل	{'48': 33.121471343028226, '36': 25.84712950600801}
رمم	{'51': 51.41965471447543, '36': 25.84712950600801}
هبو	{'56': 45.60541813898704, '25': 20.974539544962077}
عضض	{'25': 20.974539544962077, '3': 5.4687853107344635}
ملح	{'35': 25.489795918367346, '25': 20.974539544962077}
صهر	{'25': 20.974539544962077, '22': 15.261726448561292}
طرو	{'35': 25.489795918367346, '16': 10.30582911897791}
مخر	{'35': 25.489795918367346, '16': 10.30582911897791}
لغب	{'50': 50.81233595800525, '35': 25.489795918367346}
زول	{'35': 25.489795918367346, '14': 23.48029108550637}
صبو	{'19': 19.017190569744596, '12': 10.85782389231632}
جذع	{'19': 19.017190569744596, '20': 13.681625441696113}
رطب	{'19': 19.017190569744596, '6': 6.218920655316415}
جني	{'55': 47.5079754601227, '19': 19.017190569744596}
جثو	{'45': 38.75775775775776, '19': 19.017190569744596}
اثث	{'19': 19.017190569744596, '16': 10.30582911897791}
لدد	{'19': 19.017190569744596, '2': 3.1437966872361156}
ارب	{'24': 14.829184220605132, '20': 13.681625441696113}
ضمم	{'20': 13.681625441696113, '28': 13.351379310344827}
ازر	{'48': 33.121471343028226, '20': 13.681625441696113}
تور	{'20': 13.681625441696113, '17': 12.013341607198262}
سحت	{'20': 13.681625441696113, '5': 6.916577349053233}
سمر	{'23': 18.29820415879017, '20': 13.681625441696113}
قوع	{'24': 14.829184220605132, '20': 13.681625441696113}
هضم	{'26': 14.287453874538745, '20': 13.681625441696113}
نزف	{'56': 45.60541813898704, '37': 20.58426368952685}
هيم	{'56': 45.60541813898704, '26': 14.287453874538745}
بخع	{'26': 14.287453874538745, '18': 11.557910447761195}
خضع	{'33': 14.926368542791055, '26': 14.287453874538745}
عبث	{'23': 18.29820415879017, '26': 14.287453874538745}
قسطس	{'26': 14.287453874538745, '17': 12.013341607198262}
نمل	{'27': 16.462159863945576, '3': 5.4687853107344635}
فقد	{'27': 16.462159863945576, '12': 10.85782389231632}
رهط	{'27': 16.462159863945576, '11': 9.852162849872773}
حجز	{'69': 67.33739130434783, '27': 16.462159863945576}
كبب	{'67': 58.75417298937785, '27': 16.462159863945576}
لقط	{'28': 13.351379310344827, '12': 10.85782389231632}
شطا	{'48': 33.121471343028226, '28': 13.351379310344827}
عضد	{'28': 13.351379310344827, '18': 11.557910447761195}
بطر	{'8': 15.334257425742575, '28': 13.351379310344827}
كلو	{'17': 12.013341607198262, '18': 11.557910447761195}
ملق	{'17': 12.013341607198262, '6': 6.218920655316415}
جلب	{'33': 14.926368542791055, '17': 12.013341607198262}
فتل	{'17': 12.013341607198262, '4': 5.270042194092827}
نبع	{'39': 16.696420871065115, '17': 12.013341607198262}
عزب	{'34': 22.239517518667434, '10': 10.791248606465997}
بدن	{'22': 15.261726448561292, '10': 10.791248606465997}
حبس	{'11': 9.852162849872773, '5': 6.916577349053233}
خبت	{'22': 15.261726448561292, '11': 9.852162849872773}
غيض	{'13': 22.76249265138154, '11': 9.852162849872773}
اوه	{'11': 9.852162849872773, '9': 7.49061714064616}
هرع	{'37': 20.58426368952685, '11': 9.852162849872773}
شهق	{'67': 58.75417298937785, '11': 9.852162849872773}
جذذ	{'21': 15.88797702092737, '11': 9.852162849872773}
بضع	{'30': 23.66687041564792, '12': 10.85782389231632}
