position	link_query
18:6:1	لَعَلّ
18:8:4	عَلِيّ
18:12:1	ثُمّ
18:12:4	أَىّ
18:13:3	عَلِيّ
18:15:9	عَلِيّ
18:18:16	عَلِيّ
18:21:3	عَلِيّ
18:21:20	عَلِيّ
18:21:31	عَلِيّ
18:37:11	ثُمّ
18:37:14	ثُمّ
18:40:9	عَلِيّ
18:60:7	حَتَّىٰ
18:70:8	حَتَّىٰ
18:71:2	حَتَّىٰ
18:74:2	حَتَّىٰ
18:77:2	حَتَّىٰ
18:77:23	عَلِيّ
18:78:11	عَلِيّ
18:82:34	عَلِيّ
18:102:12	جَهَنَّم
18:106:3	جَهَنَّم
16:14:20	لَعَلّ
16:15:10	لَعَلّ
16:21:6	أَيَّان
16:26:12	عَلِيّ
16:27:1	ثُمّ
16:29:3	جَهَنَّم
16:36:19	عَلِيّ
16:38:12	عَلِيّ
16:44:11	لَعَلّ
16:53:7	ثُمّ
16:54:1	ثُمّ
16:61:8	عَلِيّ
16:64:3	عَلِيّ
16:69:1	ثُمّ
16:70:3	ثُمّ
16:78:14	لَعَلّ
16:81:24	لَعَلّ
16:82:4	عَلِيّ
16:83:4	ثُمّ
16:84:7	ثُمّ
16:89:7	عَلِيّ
16:89:16	عَلِيّ
16:90:15	لَعَلّ
16:106:18	عَلِيّ
16:110:1	ثُمّ
16:110:10	ثُمّ
16:114:12	إِيَّا
16:118:7	عَلِيّ
16:119:1	ثُمّ
16:119:8	ثُمّ
16:123:1	ثُمّ
71:8:1	ثُمّ
71:9:1	ثُمّ
71:18:1	ثُمّ
14:12:3	أَلَآ
14:16:3	جَهَنَّم
14:21:27	عَلِيّ
14:25:11	لَعَلّ
14:37:25	لَعَلّ
21:6:7	أُفّ
21:9:1	ثُمّ
21:13:9	لَعَلّ
21:15:5	حَتَّىٰ
21:29:10	جَهَنَّم
21:31:12	لَعَلّ
21:34:7	أُفّ
21:44:5	حَتَّىٰ
21:44:7	عَلِيّ
21:44:17	أُفّ
21:58:6	لَعَلّ
21:61:7	لَعَلّ
21:65:1	ثُمّ
21:78:1	وَدّ
21:78:2	يَمّ
21:79:2	يَمّ
21:81:1	يَمّ
21:83:1	أَيُّوب
21:87:10	عَلِيّ
21:96:1	حَتَّىٰ
21:98:8	جَهَنَّم
21:104:13	عَلِيّ
21:111:3	لَعَلّ
23:13:1	ثُمّ
23:14:1	ثُمّ
23:14:14	ثُمّ
23:15:1	ثُمّ
23:16:1	ثُمّ
23:22:1	عَلِيّ
23:25:9	حَتَّىٰ
23:27:12	نُور
23:27:23	عَلِيّ
23:31:1	ثُمّ
23:42:1	ثُمّ
23:44:1	ثُمّ
23:45:1	ثُمّ
23:49:5	لَعَلّ
23:51:1	أَيُّهَا
23:54:4	حَتَّىٰ
23:64:1	حَتَّىٰ
23:77:1	حَتَّىٰ
23:77:4	عَلِيّ
23:88:11	عَلِيّ
23:99:1	حَتَّىٰ
23:100:6	كُلّ
23:103:9	جَهَنَّم
23:106:4	عَلِيّ
23:110:3	حَتَّىٰ
32:3:17	لَعَلّ
32:4:11	ثُمّ
32:5:7	ثُمّ
32:8:1	ثُمّ
32:9:1	ثُمّ
32:11:8	ثُمّ
32:13:12	جَهَنَّم
32:21:8	لَعَلّ
32:22:7	ثُمّ
52:13:5	جَهَنَّم
52:24:2	عَلِيّ
52:27:3	عَلِيّ
52:45:2	حَتَّىٰ
67:4:1	ثُمّ
67:6:5	جَهَنَّم
67:29:6	عَلِيّ
69:7:2	عَلِيّ
69:31:1	ثُمّ
69:32:1	ثُمّ
69:44:3	عَلِيّ
69:46:1	ثُمّ
70:14:5	ثُمّ
70:15:1	كُلّ
70:39:1	كُلّ
70:42:4	حَتَّىٰ
78:1:1	عَمّ
78:4:1	كَلَّا
78:5:1	ثُمّ
78:5:2	كَلَّا
78:21:2	جَهَنَّم
79:22:1	ثُمّ
79:42:4	أَيَّان
79:43:1	يَمّ
82:6:1	أَيُّهَا
82:8:2	أَىّ
82:9:1	كَلَّا
82:18:1	ثُمّ
84:6:1	أَيُّهَا
84:21:3	عَلِيّ
30:2:2	رُّوم
30:10:1	ثُمّ
30:11:4	ثُمّ
30:11:6	ثُمّ
30:20:7	ثُمّ
30:25:8	ثُمّ
30:27:5	ثُمّ
30:27:9	عَلِيّ
30:30:10	عَلِيّ
30:33:9	ثُمّ
30:35:3	عَلِيّ
30:40:4	ثُمّ
30:40:6	ثُمّ
30:40:8	ثُمّ
30:41:14	لَعَلّ
30:44:3	عَلِيّ
30:46:16	لَعَلّ
30:47:16	عَلِيّ
30:49:7	عَلِيّ
30:54:6	ثُمّ
30:54:12	ثُمّ
29:19:7	ثُمّ
29:20:9	ثُمّ
29:25:13	ثُمّ
29:39:3	ـَٰٔن
29:40:7	عَلِيّ
29:50:4	عَلِيّ
29:51:5	عَلِيّ
29:51:8	عَلِيّ
29:54:4	جَهَنَّم
29:57:5	ثُمّ
29:60:9	إِيَّا
29:68:15	جَهَنَّم
83:7:1	كُلّ
83:13:3	عَلِيّ
83:14:1	كَلَّا
83:15:1	كُلّ
83:16:1	ثُمّ
83:17:1	ثُمّ
83:18:1	كُلّ
83:33:3	عَلِيّ
28:85:4	عَلِيّ
8:31:3	عَلِيّ
8:32:12	عَلِيّ
8:34:3	أَلَآ
8:36:11	ثُمّ
8:36:13	عَلِيّ
8:36:15	ثُمّ
8:36:20	جَهَنَّم
9:128:7	عَلِيّ
9:129:10	عَلِيّ
68:19:2	عَلِيّ
7:164:18	لَعَلّ
7:167:5	عَلِيّ
7:168:13	لَعَلّ
7:169:21	عَلِيّ
36:45:10	لَعَلّ
19:58:5	عَلِيّ
19:58:24	عَلِيّ
20:130:19	لَعَلّ
26:227:17	أَىّ
28:53:3	عَلِيّ
17:73:9	عَلِيّ
17:75:7	ثُمّ
17:75:11	عَلِيّ
10:96:4	عَلِيّ
11:12:1	لَعَلّ
11:12:14	عَلِيّ
12:2:5	لَعَلّ
12:3:3	عَلِيّ
6:23:1	ثُمّ
6:91:40	ثُمّ
6:151:8	أَلَآ
6:151:21	إِيَّا
6:151:41	لَعَلّ
6:152:9	حَتَّىٰ
6:152:34	لَعَلّ
6:153:16	لَعَلّ
42:23:13	عَلِيّ
46:15:14	حَتَّىٰ
18:86:1	حَتَّىٰ
18:87:7	ثُمّ
18:89:1	ثُمّ
